"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Wila";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1394;779;55.9;773;248;525;32.1
"......Wildberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";731;480;65.7;476;116;360;24.4
"......Illnau-Effretikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10526;5669;53.9;5598;1893;3705;33.8
"......Bauma";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3277;2018;61.6;2004;684;1320;34.1
">> Bezirk Uster";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";77794;42238;54.3;41934;12573;29361;30.0
"......Dübendorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";14676;7325;49.9;7259;2220;5039;30.6
"......Egg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5530;3262;59.0;3248;922;2326;28.4
"......Fällanden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5192;2841;54.7;2822;837;1985;29.7
"......Greifensee";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3524;2039;57.9;2023;661;1362;32.7
"......Maur";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6479;4036;62.3;4016;871;3145;21.7
"......Mönchaltorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2425;1449;59.8;1433;438;995;30.6
"......Schwerzenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3113;1706;54.8;1691;519;1172;30.7
"......Uster";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";21262;11506;54.1;11410;3960;7450;34.7
"......Volketswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11081;5747;51.9;5715;1529;4186;26.8
