"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Zug";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";16672;10515;63.1;10419;2740;7679;26.3
"......ZG-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Fribourg / Freiburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";191279;101022;52.8;99543;37943;61600;38.1
">> District de la Broye";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";18817;10193;54.2;10043;3877;6166;38.6
"......Châtillon (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";282;190;67.4;185;80;105;43.2
"......Cheiry";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";274;146;53.3;144;71;73;49.3
"......Cugy (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1010;562;55.6;559;183;376;32.7
"......Fétigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";572;316;55.2;311;107;204;34.4
"......Gletterens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";642;371;57.8;368;136;232;37.0
"......Lully (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";650;374;57.5;366;155;211;42.3
"......Ménières";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";223;123;55.2;119;35;84;29.4
"......Montagny (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1537;799;52.0;789;331;458;42.0
"......Nuvilly";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";274;145;52.9;143;66;77;46.2
"......Prévondavaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";43;24;55.8;24;9;15;37.5
"......Saint-Aubin (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";978;566;57.9;558;176;382;31.5
"......Sévaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";152;94;61.8;93;39;54;41.9
"......Surpierre";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";487;266;54.6;265;115;150;43.4
"......Vallon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";255;143;56.1;141;69;72;48.9
"......Les Montets";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";879;483;54.9;476;214;262;45.0
"......Delley-Portalban";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";742;388;52.3;383;138;245;36.0
"......Belmont-Broye";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2935;1590;54.2;1556;591;965;38.0
"......Estavayer";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5480;2798;51.1;2755;1044;1711;37.9
"......Cheyres-Châbles";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1402;815;58.1;808;318;490;39.4
">> District de la Glâne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";14266;7314;51.3;7199;2722;4477;37.8
"......Auboranges";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";180;116;64.4;114;44;70;38.6
"......Billens-Hennens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";467;254;54.4;250;94;156;37.6
"......Chapelle (Glâne)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";174;94;54.0;94;37;57;39.4
"......Le Châtelard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";268;128;47.8;125;36;89;28.8
"......Châtonnaye";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";497;271;54.5;265;109;156;41.1
"......Ecublens (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";232;126;54.3;121;44;77;36.4
"......Grangettes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";130;76;58.5;76;25;51;32.9
"......Massonnens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";331;198;59.8;196;78;118;39.8
"......Mézières (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";695;376;54.1;370;119;251;32.2
"......Montet (Glâne)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";254;137;53.9;134;52;82;38.8
"......Romont (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2443;1232;50.4;1219;456;763;37.4
"......Rue";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";983;447;45.5;440;182;258;41.4
"......Siviriez";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1481;730;49.3;709;251;458;35.4
"......Ursy";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1746;878;50.3;868;352;516;40.6
"......Villaz-Saint-Pierre";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";754;377;50.0;376;139;237;37.0
"......Vuisternens-devant-Romont";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1485;755;50.8;748;266;482;35.6
"......Villorsonnens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";890;483;54.3;465;189;276;40.6
"......Torny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";602;289;48.0;284;118;166;41.5
"......La Folliaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";654;347;53.1;345;131;214;38.0
">> District de la Gruyère";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";30165;15577;51.6;15299;5244;10055;34.3
"......Haut-Intyamon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1002;533;53.2;527;171;356;32.4
"......Pont-en-Ogoz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1167;607;52.0;602;247;355;41.0
"......Botterens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";347;206;59.4;203;63;140;31.0
"......Broc";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1425;727;51.0;714;253;461;35.4
"......Bulle";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10726;5031;46.9;4917;1657;3260;33.7
"......Châtel-sur-Montsalvens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";157;96;61.1;95;36;59;37.9
"......Corbières";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";535;275;51.4;269;86;183;32.0
"......Crésuz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";216;132;61.1;130;48;82;36.9
"......Echarlens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";498;280;56.2;279;87;192;31.2
"......Grandvillard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";524;299;57.1;289;89;200;30.8
"......Gruyères";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1284;674;52.5;666;254;412;38.1
"......Hauteville";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";399;212;53.1;209;64;145;30.6
"......Jaun";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";505;267;52.9;262;74;188;28.2
"......Marsens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1095;563;51.4;553;190;363;34.4
"......Morlon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";393;215;54.7;212;62;150;29.2
"......Le Pâquier (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";731;445;60.9;439;160;279;36.4
"......Pont-la-Ville";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";390;211;54.1;208;64;144;30.8
"......Riaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1471;819;55.7;804;301;503;37.4
"......La Roche";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1021;508;49.8;500;180;320;36.0
"......Sâles";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";990;559;56.5;549;182;367;33.2
"......Sorens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";717;408;56.9;401;173;228;43.1
"......Vaulruz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";710;409;57.6;403;143;260;35.5
"......Vuadens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1439;754;52.4;739;232;507;31.4
"......Bas-Intyamon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";804;405;50.4;395;135;260;34.2
"......Val-de-Charmey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1619;942;58.2;934;293;641;31.4
">> District de la Sarine";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";59370;32345;54.5;31777;13052;18725;41.1
"......Arconciel";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";553;321;58.0;313;133;180;42.5
"......Autigny";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";534;283;53.0;277;88;189;31.8
"......Avry";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1187;696;58.6;688;259;429;37.6
"......Belfaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1763;928;52.6;914;338;576;37.0
"......Chénens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";464;220;47.4;215;90;125;41.9
"......Corminboeuf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1627;1022;62.8;1003;334;669;33.3
"......Corserey";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";263;147;55.9;141;56;85;39.7
"......Cottens (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";870;500;57.5;498;176;322;35.3
"......Ependes (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";755;440;58.3;438;171;267;39.0
"......Ferpicloz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";194;101;52.1;101;32;69;31.7
"......Fribourg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";20052;10745;53.6;10527;4988;5539;47.4
"......Givisiez";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1686;879;52.1;866;336;530;38.8
"......Granges-Paccot";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1710;747;43.7;740;306;434;41.4
"......Grolley";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1189;654;55.0;636;223;413;35.1
"......Marly";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4773;2633;55.2;2606;1007;1599;38.6
"......Matran";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1019;541;53.1;536;171;365;31.9
"......Neyruz (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1535;911;59.3;898;302;596;33.6
"......Noréaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";424;233;55.0;223;66;157;29.6
"......Pierrafortscha";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";99;55;55.6;54;23;31;42.6
"......Ponthaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";465;220;47.3;217;82;135;37.8
"......Le Mouret";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2097;1025;48.9;1008;374;634;37.1
"......Prez-vers-Noréaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";644;331;51.4;324;133;191;41.0
"......Senèdes";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";108;74;68.5;74;31;43;41.9
"......Treyvaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";991;597;60.2;584;191;393;32.7
"......Villars-sur-Glâne";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6442;3637;56.5;3557;1385;2172;38.9
"......Villarsel-sur-Marly";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";54;43;79.6;43;10;33;23.3
"......Hauterive (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1537;838;54.5;824;319;505;38.7
"......La Brillaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1199;625;52.1;616;234;382;38.0
"......La Sonnaz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";693;376;54.3;372;147;225;39.5
"......Gibloux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4443;2523;56.8;2484;1047;1437;42.1
">> Bezirk See / District du Lac";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";22301;12199;54.7;12089;4176;7913;34.5
"......Courgevaux";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";791;411;52.0;406;144;262;35.5
"......Courtepin";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2671;1352;50.6;1330;572;758;43.0
"......Cressier (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";517;308;59.6;304;135;169;44.4
"......Fräschels";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";351;226;64.4;223;74;149;33.2
"......Galmiz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";439;225;51.3;224;81;143;36.2
"......Gempenach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";217;123;56.7;122;41;81;33.6
"......Greng";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";126;84;66.7;84;12;72;14.3
"......Gurmels";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2916;1471;50.4;1462;517;945;35.4
"......Kerzers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3048;1588;52.1;1580;517;1063;32.7
"......Kleinbösingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";464;259;55.8;258;104;154;40.3
"......Meyriez";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";437;274;62.7;272;65;207;23.9
"......Misery-Courtion";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1044;509;48.8;496;186;310;37.5
"......Muntelier";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";700;424;60.6;421;108;313;25.7
"......Murten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5256;2987;56.8;2965;998;1967;33.7
"......Ried bei Kerzers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";693;430;62.0;428;147;281;34.3
"......Ulmiz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";297;183;61.6;183;60;123;32.8
"......Mont-Vully";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2334;1345;57.6;1331;415;916;31.2
">> Bezirk Sense";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";31339;16229;51.8;16120;6015;10105;37.3
"......Alterswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1537;793;51.6;792;319;473;40.3
"......Brünisried";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";512;270;52.7;267;103;164;38.6
"......Düdingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5607;2926;52.2;2908;1013;1895;34.8
"......Giffers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1093;553;50.6;548;218;330;39.8
"......Bösingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2505;1393;55.6;1389;437;952;31.5
"......Heitenried";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1081;558;51.6;554;168;386;30.3
"......Plaffeien";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2675;1268;47.4;1255;534;721;42.5
"......Plasselb";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";755;407;53.9;403;158;245;39.2
"......Rechthalten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";849;437;51.5;434;177;257;40.8
"......St. Antoni";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1512;803;53.1;796;330;466;41.5
"......St. Silvester";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";739;369;49.9;367;154;213;42.0
"......St. Ursen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";986;506;51.3;504;193;311;38.3
"......Schmitten (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2829;1570;55.5;1560;610;950;39.1
"......Tafers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2260;1220;54.0;1213;420;793;34.6
"......Tentlingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";911;448;49.2;446;158;288;35.4
"......Ueberstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1836;916;49.9;913;343;570;37.6
"......Wünnewil-Flamatt";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3652;1792;49.1;1771;680;1091;38.4
">> District de la Veveyse";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";10669;5527;51.8;5400;2036;3364;37.7
"......Attalens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1985;1018;51.3;998;361;637;36.2
"......Bossonnens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";860;410;47.7;400;145;255;36.3
"......Châtel-Saint-Denis";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3578;1815;50.7;1761;636;1125;36.1
"......Granges (Veveyse)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";536;321;59.9;317;130;187;41.0
"......Remaufens";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";620;341;55.0;338;133;205;39.3
"......Saint-Martin (FR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";672;366;54.5;356;149;207;41.9
"......Semsales";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";911;476;52.3;465;187;278;40.2
"......Le Flon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";772;398;51.6;394;170;224;43.1
"......La Verrerie";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";735;382;52.0;371;125;246;33.7
"......FR-CH de l'étranger";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4352;1638;37.6;1616;821;795;50.8
"- Solothurn";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";175816;93659;53.3;92937;31474;61463;33.9
">> Bezirk Gäu";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";12937;6848;52.9;6812;2068;4744;30.4
"......Egerkingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2040;1055;51.7;1050;300;750;28.6
"......Härkingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1030;573;55.6;571;173;398;30.3
"......Kestenholz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1275;727;57.0;723;189;534;26.1
"......Neuendorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1460;826;56.6;823;256;567;31.1
"......Niederbuchsiten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";722;379;52.5;379;141;238;37.2
"......Oberbuchsiten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1313;704;53.6;700;219;481;31.3
"......Oensingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3546;1757;49.5;1745;554;1191;31.7
"......Wolfwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1551;827;53.3;821;236;585;28.7
">> Bezirk Thal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";9762;5366;55.0;5323;1590;3733;29.9
"......Aedermannsdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";421;230;54.6;230;66;164;28.7
"......Balsthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3384;1818;53.7;1802;550;1252;30.5
"......Gänsbrunnen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";72;35;48.6;34;12;22;35.3
"......Herbetswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";432;231;53.5;229;71;158;31.0
"......Holderbank (SO)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";466;240;51.5;238;73;165;30.7
"......Laupersdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1234;725;58.8;721;221;500;30.7
"......Matzendorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1026;586;57.1;577;179;398;31.0
"......Mümliswil-Ramiswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1874;1025;54.7;1022;283;739;27.7
"......Welschenrohr";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";853;476;55.8;470;135;335;28.7
">> Bezirk Bucheggberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5842;3337;57.1;3316;1062;2254;32.0
"......Biezwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";243;140;57.6;138;36;102;26.1
"......Lüterkofen-Ichertswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";577;334;57.9;333;108;225;32.4
"......Lüterswil-Gächliwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";265;168;63.4;167;47;120;28.1
"......Messen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1100;632;57.5;627;185;442;29.5
"......Schnottwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";789;449;56.9;447;170;277;38.0
"......Unterramsern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";163;100;61.3;98;23;75;23.5
"......Lüsslingen-Nennigkofen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";705;425;60.3;422;155;267;36.7
"......Buchegg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2000;1089;54.5;1084;338;746;31.2
">> Bezirk Dorneck";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";13871;8186;59.0;8112;2785;5327;34.3
"......Bättwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";810;454;56.0;447;116;331;26.0
