commune,vote_yes,vote_no,turnout_perc,canton,canton_name,bfsnr,n_taxed,mean_income,median_income,gini-coeff,percent_yes
Hagneck,70,104,53.5,BE,Bern / Berne,736,255,43781.7562067562,43100,0.342007095808433,0.402298850574713
Zuchwil,818,1215,45.2,SO,Solothurn,2534,5575,39994.255547305,39700,0.352626734026014,0.402361042793901
Guttet-Feschel,68,101,52.55,VS,Valais / Wallis,6117,307,29003.1034906163,29900,0.422107776044194,0.402366863905325
Alterswil,319,473,51.59,FR,Fribourg / Freiburg,2291,1231,41374.4532688481,39800,0.32832810542865,0.402777777777778
Eggiwil,332,492,42.42,BE,Bern / Berne,901,1430,33209.8533744333,31026.3157894737,0.346810715996612,0.402912621359223
Nods,158,234,72.22,BE,Bern / Berne,724,475,41042.8500068209,39600,0.40510479623273,0.403061224489796
Bowil,183,271,41.78,BE,Bern / Berne,605,845,34859.7678956913,34800,0.349509343668571,0.403083700440529
Kleinbösingen,104,154,55.82,FR,Fribourg / Freiburg,2266,367,50376.2131966832,46375,0.361010198466319,0.403100775193798
Trogen,303,448,58.6,AR,Appenzell Ausserrhoden,3025,1022,43120.2801592479,38366.6666666667,0.403888333329995,0.403462050599201
Liesberg,201,297,56.6,BL,Basel-Landschaft,2788,735,43512.1138895118,41600,0.33626398637362,0.403614457831325
Bioggio,371,548,54.12,TI,Ticino,5151,1591,49100.369448564,41750,0.446405540713461,0.403699673558215
Stein am Rhein,600,886,67.4,SH,Schaffhausen,2964,2056,46955.4469408904,41354.1666666667,0.404104638190073,0.403768506056528
Zeihen,179,263,58.14,AG,Aargau,4183,663,47720.4781608082,45066.6666666667,0.316319823951859,0.404977375565611
Eggerberg,64,94,56.79,VS,Valais / Wallis,6004,222,34856.608348275,35866.6666666667,0.379744711007613,0.40506329113924
Morcote,90,132,56.71,TI,Ticino,5203,672,52614.8450995755,25050,0.642717451910676,0.405405405405405
L'Abbaye,223,327,58.02,VD,Vaud,5871,929,44690.6796102642,39142.8571428571,0.446704533153696,0.405454545454545
Ursy,352,516,50.29,FR,Fribourg / Freiburg,2102,1534,44868.7055143139,41112.5,0.377316322242139,0.405529953917051
Mellikon,43,63,60.92,AG,Aargau,4314,129,45955.7312374224,43100,0.316347260577727,0.405660377358491
Ecublens (VD),1067,1560,50.7,VD,Vaud,5635,6300,47025.7423786531,41777.7777777778,0.409027132416924,0.406166730110392
Derendingen,732,1070,49.4,SO,Solothurn,2517,3970,40993.8277917623,40642.8571428571,0.359553627033255,0.406215316315205
Rohr (SO),13,19,46.5,SO,Solothurn,2498,54,43895.2130147306,41983.3333333333,0.369228756636813,0.40625
Innertkirchen,152,222,42.025,BE,Bern / Berne,784,659,37563.1454870104,36133.3333333333,0.389558508929852,0.406417112299465
Evionnaz,189,276,59.85,VS,Valais / Wallis,6213,795,37770.5950417354,38384.6153846154,0.372235417675503,0.406451612903226
Villorsonnens,189,276,54.27,FR,Fribourg / Freiburg,2114,713,42786.5101672439,41142.8571428571,0.372576387775705,0.406451612903226
Mühlethurnen,277,404,63.36,BE,Bern / Berne,876,846,44018.2815264795,42976.1904761905,0.365411568984863,0.406754772393539
Vucherens,83,121,57.34,VD,Vaud,5692,316,48416.3654811119,44700,0.363241921206924,0.406862745098039
Bevaix,634,924,61,NE,Neuchâtel,6402,2287,47507.077736305,43047.619047619,0.420657040849783,0.406931964056483
Rongellen,11,16,62.79,GR,Graubünden / Grigioni / Grisch,3711,28,47335.1473922902,48850,0.275267564582313,0.407407407407407
Wyssachen,172,250,44.47,BE,Bern / Berne,960,694,31265.560000674,29270.8333333333,0.366002729890714,0.407582938388626
Rechthalten,177,257,51.47,FR,Fribourg / Freiburg,2301,667,42994.440118078,40952.380952381,0.327198965583972,0.407834101382488
Ziefen,242,351,52.9,BL,Basel-Landschaft,2834,862,44069.5973236363,41900,0.371368605397649,0.408094435075885
Syens,20,29,57.65,VD,Vaud,5688,73,44052.5594478821,36533.3333333333,0.415063873348812,0.408163265306122
Soazza,58,84,53.9,GR,Graubünden / Grigioni / Grisch,3823,232,44807.7415161467,36744.4444444444,0.471419694049974,0.408450704225352
Quinto,154,223,51.83,TI,Ticino,5079,664,39332.6368508221,34000,0.418823413251865,0.408488063660477
Dotzigen,207,299,48.36,BE,Bern / Berne,386,851,41772.7778804438,39800,0.344105286644603,0.409090909090909
La Praz,27,39,61.47,VD,Vaud,5758,97,47998.2205132843,42000,0.403117609367947,0.409090909090909
Schwendibach,45,65,56,BE,Bern / Berne,937,140,40095.629179022,38387.5,0.324554204552812,0.409090909090909
Wangenried,72,104,54.15,BE,Bern / Berne,993,254,41756.4558454814,40433.3333333333,0.330720478872341,0.409090909090909
Wald (AR),175,252,67.9,AR,Appenzell Ausserrhoden,3036,507,40865.8806621824,36222.2222222222,0.413425859209051,0.409836065573771
Winterthur,14806,21315,53.6471428571429,ZH,Zürich,230,66551,47948.003028111,43400,0.393140380351047,0.409900058137925
Bex,808,1163,51.45,VD,Vaud,5402,3994,37621.788563685,34133.9285714286,0.401389424691577,0.409944190766109
Schmitten (GR),41,59,49.02,GR,Graubünden / Grigioni / Grisch,3514,178,31879.5331610862,32000,0.385568832714521,0.41
Granges (Veveyse),130,187,59.89,FR,Fribourg / Freiburg,2328,468,48012.1828548195,45083.3333333333,0.382815165543884,0.410094637223975
Erstfeld,532,765,51.2,UR,Uri,1206,2123,41274.7312932854,40100,0.311096642368292,0.41017733230532
Fiez,64,92,60.92,VD,Vaud,5556,217,49588.3905737501,46133.3333333333,0.369478013796563,0.41025641025641
Pont-en-Ogoz,247,355,52.01,FR,Fribourg / Freiburg,2122,1021,46131.4190641366,41615.3846153846,0.401108846800238,0.410299003322259
Saint-Aubin-Sauges,364,523,56,NE,Neuchâtel,6414,1537,41375.5736128609,37277.7777777778,0.431054376202691,0.410372040586246
Prez-vers-Noréaz,133,191,51.4,FR,Fribourg / Freiburg,2221,567,42330.3476507146,40380.9523809524,0.382080069009412,0.410493827160494
Rodersdorf,259,371,65,SO,Solothurn,2479,815,50611.3089094321,45466.6666666667,0.440457316239901,0.411111111111111
Châtonnaye,109,156,54.53,FR,Fribourg / Freiburg,2068,416,41398.4678106911,40281.25,0.349588308688268,0.411320754716981
La Tène,669,957,57,NE,Neuchâtel,6461,2727,45081.0599222494,42300,0.413768681662779,0.411439114391144
Val-de-Ruz,2571,3675,58,NE,Neuchâtel,6487,9235,45853.9273021527,43500,0.374327570513653,0.411623439000961
Les Ponts-de-Martel,254,363,63,NE,Neuchâtel,6437,737,37405.9510808779,36300,0.386513696199364,0.411669367909238
Nidau,844,1206,45.4,BE,Bern / Berne,743,4535,38620.6947744212,37100,0.428876234929408,0.411707317073171
Cresciano,63,90,42.59,TI,Ticino,5283,424,35902.7394123999,35500,0.349124931239579,0.411764705882353
Salmsach,171,244,52.2,TG,Thurgau,4441,775,41061.0937542367,40333.3333333333,0.327794940972577,0.412048192771084
Zürich,47878,68251,51.5666666666667,ZH,Zürich,261,254158,55961.4184786859,45800,0.450527453702171,0.412282892300803
Bätterkinden,492,701,50.88,BE,Bern / Berne,533,1936,44135.7641439658,42600,0.35614882379511,0.412405699916178
Boltigen,208,296,45.94,BE,Bern / Berne,791,862,30333.074092364,29300,0.369927993408241,0.412698412698413
Corgémont,349,496,78.4,BE,Bern / Berne,431,967,39691.5511006317,39000,0.3708188411869,0.41301775147929
Kandergrund,131,186,50.63,BE,Bern / Berne,564,457,35139.7488664994,33400,0.317946216018141,0.413249211356467
Moudon,432,613,42.58,VD,Vaud,5678,2979,37363.6702629649,34200,0.387449163027969,0.413397129186603
Granges-Paccot,306,434,43.68,FR,Fribourg / Freiburg,2198,1779,46176.1904911323,44600,0.36503474524764,0.413513513513514
Wattenwil,483,685,54.52,BE,Bern / Berne,886,1754,36812.7733682912,35600,0.364602860763578,0.413527397260274
Rue,182,258,45.47,FR,Fribourg / Freiburg,2097,862,42856.0717117026,41500,0.354831239117749,0.413636363636364
Pompaples,103,146,53.47,VD,Vaud,5497,471,40682.5214075438,38400,0.394279278136938,0.413654618473896
St. Antoni,330,466,53.11,FR,Fribourg / Freiburg,2302,1157,42969.4578578836,40500,0.324073776146654,0.414572864321608
Châbles,122,172,62.32,FR,Fribourg / Freiburg,2005,393,53976.252989071,47380.9523809524,0.404347474200672,0.414965986394558
Maracon,83,117,62.15,VD,Vaud,5790,255,46907.2173982803,44000,0.396859702061349,0.415
Waldenburg,125,176,40.8,BL,Basel-Landschaft,2895,727,42886.6844404192,39666.6666666667,0.378777137945792,0.415282392026578
Vendlincourt,113,159,62.84,JU,Jura,6806,350,35984.3973961155,34483.3333333333,0.341307142167164,0.415441176470588
Torny,118,166,48.01,FR,Fribourg / Freiburg,2115,492,44094.1485789207,41300,0.348425951282616,0.415492957746479
Montfaucon,121,170,66.01,JU,Jura,6751,364,44888.5128837034,36226.9230769231,0.445375811740945,0.415807560137457
Ochlenberg,104,146,53.18,BE,Bern / Berne,985,351,37114.4111854807,33300,0.370944190371465,0.416
Corsier-sur-Vevey,431,604,57.1,VD,Vaud,5884,2056,44629.6791353135,39666.6666666667,0.39699871272216,0.416425120772947
Ascona,722,1011,51.81,TI,Ticino,5091,4317,49000.6469810386,31200,0.573354691120659,0.416618580496249
La Côte-aux-Fées,105,147,68,NE,Neuchâtel,6504,308,35398.2715201465,32700,0.43797128457229,0.416666666666667
Eriswil,178,249,39.42,BE,Bern / Berne,953,833,32298.5784983265,31333.3333333333,0.350490368925774,0.416861826697892
Ballaigues,147,205,53.13,VD,Vaud,5744,614,40818.1951105704,36804.7619047619,0.400867208691598,0.417613636363636
Madulain,33,46,60,GR,Graubünden / Grigioni / Grisch,3783,234,33637.5364387117,18029.6296296296,0.487836595653522,0.417721518987342
Aefligen,178,248,52.3,BE,Bern / Berne,401,664,42822.4489267074,41200,0.34574982948668,0.417840375586854
Saint-Martin (FR),149,207,54.46,FR,Fribourg / Freiburg,2335,581,40288.2982033585,37200,0.40137647114392,0.418539325842697
Chénens,90,125,47.41,FR,Fribourg / Freiburg,2177,442,41377.2464903121,40700,0.376989661271849,0.418604651162791
Vugelles-La Mothe,18,25,57.69,VD,Vaud,5937,62,40370.4910755314,39243.75,0.292318641262019,0.418604651162791
Boudry,672,933,51,NE,Neuchâtel,6404,3282,42066.5034976042,39609.5238095238,0.398699598278739,0.418691588785047
Muralto,387,537,51.04,TI,Ticino,5120,2084,44001.7274984825,31750,0.499404472139211,0.418831168831169
Trimbach,702,974,46.7,SO,Solothurn,2500,4010,38380.1808520454,36933.7606837607,0.397658521801462,0.418854415274463
Senèdes,31,43,68.52,FR,Fribourg / Freiburg,2225,85,42470.7501975149,45750,0.322053024131469,0.418918918918919
Andiast,26,36,36.99,GR,Graubünden / Grigioni / Grisch,3611,136,30376.437145371,29500,0.409449469614949,0.419354838709677
Sévaz,39,54,61.84,FR,Fribourg / Freiburg,2043,131,43546.0555524487,40800,0.32549155315692,0.419354838709677
